,location_name,cause_name,year,GBD_val
484685,World Bank High Income,Cardiovascular diseases,1990,5690.9661141961815
484691,World Bank High Income,Cardiovascular diseases,1991,5593.226863575703
484697,World Bank High Income,Cardiovascular diseases,1992,5442.317785610214
484703,World Bank High Income,Cardiovascular diseases,1993,5383.402236470711
484709,World Bank High Income,Cardiovascular diseases,1994,5257.36917046923
484715,World Bank High Income,Cardiovascular diseases,1995,5192.704668802997
484721,World Bank High Income,Cardiovascular diseases,1996,5042.508940840956
484727,World Bank High Income,Cardiovascular diseases,1997,4910.13895741785
484733,World Bank High Income,Cardiovascular diseases,1998,4831.8548570953835
484739,World Bank High Income,Cardiovascular diseases,1999,4760.993325048857
484745,World Bank High Income,Cardiovascular diseases,2000,4620.140426960495
484751,World Bank High Income,Cardiovascular diseases,2001,4512.957377125658
484757,World Bank High Income,Cardiovascular diseases,2002,4431.005539520268
484763,World Bank High Income,Cardiovascular diseases,2003,4361.2212597683365
484769,World Bank High Income,Cardiovascular diseases,2004,4183.8312596775295
484775,World Bank High Income,Cardiovascular diseases,2005,4115.6039978084855
484781,World Bank High Income,Cardiovascular diseases,2006,4002.863235153051
484787,World Bank High Income,Cardiovascular diseases,2007,3921.4793318965367
484793,World Bank High Income,Cardiovascular diseases,2008,3845.63443553635
484799,World Bank High Income,Cardiovascular diseases,2009,3762.688679618501
484805,World Bank High Income,Cardiovascular diseases,2010,3669.777429083728
484811,World Bank High Income,Cardiovascular diseases,2011,3640.870573292042
484817,World Bank High Income,Cardiovascular diseases,2012,3600.947323954847
484823,World Bank High Income,Cardiovascular diseases,2013,3571.123413927801
484829,World Bank High Income,Cardiovascular diseases,2014,3531.2388634531353
484835,World Bank High Income,Cardiovascular diseases,2015,3572.5287824433576
484847,World Bank High Income,Cardiovascular diseases,2016,3600.349675193404
484841,World Bank High Income,Cardiovascular diseases,2017,3639.1551895834205
495101,World Bank Low Income,Cardiovascular diseases,1990,3679.154566493017
495107,World Bank Low Income,Cardiovascular diseases,1991,3647.0455251109447
495113,World Bank Low Income,Cardiovascular diseases,1992,3625.8096660954197
495119,World Bank Low Income,Cardiovascular diseases,1993,3615.431349664963
495125,World Bank Low Income,Cardiovascular diseases,1994,3592.2680469295005
495131,World Bank Low Income,Cardiovascular diseases,1995,3563.8794483464626
495137,World Bank Low Income,Cardiovascular diseases,1996,3528.0772211437898
495143,World Bank Low Income,Cardiovascular diseases,1997,3471.9934642305666
495149,World Bank Low Income,Cardiovascular diseases,1998,3425.0436026172492
495155,World Bank Low Income,Cardiovascular diseases,1999,3361.6240707053967
495161,World Bank Low Income,Cardiovascular diseases,2000,3304.7587212990165
495167,World Bank Low Income,Cardiovascular diseases,2001,3233.3900408822315
495173,World Bank Low Income,Cardiovascular diseases,2002,3164.626912381216
495179,World Bank Low Income,Cardiovascular diseases,2003,3109.497756342059
495185,World Bank Low Income,Cardiovascular diseases,2004,3050.5393276947148
495191,World Bank Low Income,Cardiovascular diseases,2005,2983.6205261362443
495197,World Bank Low Income,Cardiovascular diseases,2006,2940.2699307459548
495203,World Bank Low Income,Cardiovascular diseases,2007,2896.451265963491
495209,World Bank Low Income,Cardiovascular diseases,2008,2857.649899417408
