,measure_id,measure_name,location_id,location_name,cause_id,cause_name,metric_id,metric_name,year,GBD_val,upper,lower,WBLocation,Country Code,GDP_value,Lvl1_category
2525,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,1990,1016.704306553346,1028.2596360709374,1006.011418120298,North America,NAC,36335.92503,Injuries
2531,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,1991,975.4683871171648,984.7182144464276,966.064342987964,North America,NAC,35751.8747,Injuries
2537,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,1993,919.845844874761,928.925587520652,908.9560405282978,North America,NAC,36940.70496,Injuries
2543,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,1992,925.7947972815933,934.7020844784596,916.5038916155588,North America,NAC,36425.56493,Injuries
2549,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,1994,904.7626860592604,913.5625003192564,893.5039135329822,North America,NAC,37989.48988,Injuries
2555,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,1995,882.8683509986411,891.9980744852112,871.7027363237668,North America,NAC,38573.15504,Injuries
2561,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,1996,862.6805532074217,870.7907615732221,854.1854871726559,North America,NAC,39496.96812,Injuries
2567,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,1997,841.7781393751727,848.7194241545047,834.4392097946744,North America,NAC,40773.65447,Injuries
2573,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,1998,829.8653537224637,837.0418117728537,822.5207998912477,North America,NAC,42085.24825,Injuries
2579,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,1999,833.3605886627603,841.3792091798663,825.9178752834358,North America,NAC,43586.39797,Injuries
2585,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2000,833.1842589964943,840.6761477165628,826.2222824134404,North America,NAC,44923.36444,Injuries
2591,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2001,837.4455333400882,844.5708202117725,830.6277894563858,North America,NAC,44948.91597,Injuries
2597,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2002,832.3360946648969,839.1438862445458,825.2170367812516,North America,NAC,45382.50935,Injuries
2603,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2003,823.9543460212648,830.6577615056567,816.6745000158534,North America,NAC,46206.9726,Injuries
2609,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2004,797.3208088493325,803.6216222649571,790.3911386360485,North America,NAC,47479.80255,Injuries
2615,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2005,795.2262110567134,801.6304950861248,787.7164919094789,North America,NAC,48608.10518,Injuries
2621,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2006,777.4209054613788,784.6511541894997,768.2205165419765,North America,NAC,49432.09429,Injuries
2627,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2007,738.4720956923848,746.0161368321295,730.1321838575011,North America,NAC,49847.66816,Injuries
2633,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2009,649.8210017853464,656.256764002492,642.2893327243521,North America,NAC,47481.75506,Injuries
2639,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2008,693.6824709697812,700.5395041462746,685.6191182261055,North America,NAC,49289.29888,Injuries
2645,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2010,607.1039855170286,613.1645557644604,600.6111309061638,North America,NAC,48291.07443,Injuries
2651,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2011,590.548502811769,595.9352466197167,584.1871142191003,North America,NAC,48760.69903,Injuries
2657,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2012,575.1590380100578,580.7984392692476,568.9098076226263,North America,NAC,49427.21944,Injuries
2663,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2013,561.1879697964708,567.6808015188999,554.4738493572638,North America,NAC,49916.10125,Injuries
2669,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2014,560.6143369241927,568.2875724627837,552.911757212559,North America,NAC,50812.04926,Injuries
2675,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2015,574.0441335268645,585.3273233414374,563.2220588044737,North America,NAC,51775.52607,Injuries
2681,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2017,595.9827479610534,619.7507019132589,568.1086443846942,North America,NAC,52950.93778,Injuries
2687,4,YLLs (Years of Life Lost),44638,North America,688,Transport injuries,3,Rate,2016,594.0821202001882,612.9614020806179,570.9016393067391,North America,NAC,52132.23986,Injuries
12269,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,1991,1380.1033749589346,1409.0539630446767,1337.9009547880687,Latin America & Caribbean,LCN,6624.815324,Injuries
12272,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,1990,1409.852908448755,1439.8310040191009,1364.001744986275,Latin America & Caribbean,LCN,6520.866016,Injuries
12281,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,1992,1355.9885019420885,1383.601347169469,1316.9910270487323,Latin America & Caribbean,LCN,6669.130636,Injuries
12287,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,1993,1360.0864940494369,1386.4843393726971,1322.6918188443615,Latin America & Caribbean,LCN,6798.031545000001,Injuries
12293,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,1994,1326.9293709802162,1353.1119913327693,1290.8858963907296,Latin America & Caribbean,LCN,6988.252811,Injuries
12299,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,1995,1308.107827538844,1333.8287776297375,1272.0992953673374,Latin America & Caribbean,LCN,6976.759581,Injuries
12305,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,1996,1288.3454256394598,1313.6957103708776,1255.3217666762787,Latin America & Caribbean,LCN,7105.073974,Injuries
12311,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,1997,1252.902715021997,1277.8851108692802,1221.9546965397901,Latin America & Caribbean,LCN,7351.738716,Injuries
12317,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,1998,1215.2439617172495,1239.1586897697796,1186.6390363350508,Latin America & Caribbean,LCN,7400.1291980000005,Injuries
12323,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,1999,1178.3073167516209,1201.9189796134724,1152.988959646138,Latin America & Caribbean,LCN,7300.285064,Injuries
12329,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,2000,1138.218550021659,1161.1045937206325,1113.667995116441,Latin America & Caribbean,LCN,7461.015492,Injuries
12335,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,2001,1109.3794235234975,1130.9148221154412,1087.184362245361,Latin America & Caribbean,LCN,7422.7544290000005,Injuries
12341,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,2002,1105.7163612819018,1126.7988760913126,1082.1173653516407,Latin America & Caribbean,LCN,7344.933040000001,Injuries
12347,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,2003,1093.7443636358619,1114.2814290840813,1070.959074843502,Latin America & Caribbean,LCN,7362.336942,Injuries
12353,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,2005,1059.2939252418737,1080.8098235182704,1038.7870394889906,Latin America & Caribbean,LCN,7955.172320999999,Injuries
12359,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,2004,1074.0072171174158,1094.977030640607,1053.3474884972857,Latin America & Caribbean,LCN,7729.078029,Injuries
12365,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,2006,1058.2133768428016,1079.6244054787219,1037.547061196346,Latin America & Caribbean,LCN,8268.717574,Injuries
12371,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,2008,1069.2939371172454,1089.0465582067648,1049.6329032358433,Latin America & Caribbean,LCN,8842.956825,Injuries
12377,4,YLLs (Years of Life Lost),241,Latin America & Caribbean,688,Transport injuries,3,Rate,2007,1053.4063064635377,1074.4607268522523,1032.9045071200699,Latin America & Caribbean,LCN,8615.8358,Injuries
